"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상"
"서울특별시 중랑구 상봉제2동(1126059000)","20,304","20,304","728","661","4,177","4,759","2,417","2,872","2,668","1,377","571","72","2"
"서울특별시 중랑구 중화제1동(1126060000)","18,706","18,706","907","1,157","2,332","2,958","2,591","3,007","3,230","1,737","717","68","2"
"서울특별시 중랑구 중화제2동(1126061000)","23,853","23,853","854","999","3,271","3,604","3,042","4,250","4,450","2,172","1,092","117","2"
"서울특별시 중랑구 묵제1동(1126062000)","33,700","33,700","1,739","2,920","4,694","4,563","5,116","5,538","4,945","2,797","1,244","140","4"
"서울특별시 중랑구 묵제2동(1126063000)","18,061","18,061","782","1,034","2,408","2,667","2,553","3,095","3,030","1,677","738","74","3"
"서울특별시 중랑구 망우본동(1126065500)","36,461","36,461","2,547","2,105","4,447","6,143","5,059","5,639","6,001","2,963","1,361","189","7"
"서울특별시 중랑구 망우제3동(1126066000)","15,659","15,659","559","865","1,988","1,964","1,965","3,008","2,998","1,525","671","114","2"
"서울특별시 중랑구 신내1동(1126068000)","37,766","37,766","2,268","3,825","4,248","4,535","5,617","6,197","6,190","3,158","1,497","224","7"
"서울특별시 중랑구 신내2동(1126069000)","19,687","19,687","980","1,458","2,125","2,705","2,788","3,321","3,408","1,871","898","124","9"
"서울특별시 성북구 (1129000000)","425,602","425,602","24,097","35,002","64,693","56,113","63,436","70,949","58,000","33,630","17,411","2,212","59"
"서울특별시 성북구 성북동(1129052500)","15,925","15,925","611","1,067","2,539","2,490","2,207","2,745","2,117","1,225","782","136","6"
"서울특별시 성북구 삼선동(1129055500)","22,198","22,198","806","1,668","4,182","3,068","2,987","3,810","2,838","1,719","1,006","108","6"
"서울특별시 성북구 동선동(1129057500)","15,006","15,006","401","837","4,660","2,429","1,765","1,912","1,448","922","558","72","2"
"서울특별시 성북구 돈암제1동(1129058000)","14,265","14,265","666","1,073","1,845","1,866","1,830","2,595","2,350","1,292","667","79","2"
"서울특별시 성북구 돈암제2동(1129059000)","23,426","23,426","1,632","2,617","2,689","2,750","3,858","4,362","2,993","1,543","828","151","3"
"서울특별시 성북구 안암동(1129060000)","14,915","14,915","371","722","5,491","2,038","1,401","1,911","1,472","910","524","73","2"
"서울특별시 성북구 보문동(1129061000)","16,170","16,170","963","972","2,645","2,809","2,276","2,696","2,045","1,142","551","69","2"
"서울특별시 성북구 정릉제1동(1129062000)","17,777","17,777","1,217","1,630","2,227","2,324","2,925","2,862","2,332","1,419","750","90","1"
"서울특별시 성북구 정릉제2동(1129063000)","22,549","22,549","1,246","1,590","3,031","2,998","3,164","3,835","3,494","2,021","1,051","118","1"
"서울특별시 성북구 정릉제3동(1129064000)","14,935","14,935","439","906","3,383","1,800","1,546","2,284","2,226","1,435","806","109","1"
"서울특별시 성북구 정릉제4동(1129065000)","24,027","24,027","1,192","1,969","3,052","2,863","3,585","4,248","3,651","2,211","1,109","143","4"
"서울특별시 성북구 길음제1동(1129066000)","34,752","34,752","2,921","4,984","3,416","3,683","7,217","5,809","3,446","2,096","1,049","128","3"
"서울특별시 성북구 길음제2동(1129068500)","21,679","21,679","2,031","2,037","2,507","2,859","3,847","3,716","2,605","1,399","591","85","2"
