사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
Dec-23,분당선,1859,오리,257777 ,214373 ,74469 ,64469 ,2024-01-03 9:18
Dec-23,분당선,1860,이매,128330 ,121890 ,41928 ,41819 ,2024-01-03 9:18
Dec-23,분당선,1861,보정,56189 ,48513 ,21224 ,20091 ,2024-01-03 9:18
Dec-23,분당선,1862,죽전,334242 ,371003 ,74538 ,79497 ,2024-01-03 9:18
Dec-23,분당선,1863,구성,104934 ,109508 ,38320 ,38420 ,2024-01-03 9:18
Dec-23,분당선,1864,신갈,107089 ,103460 ,31529 ,31331 ,2024-01-03 9:18
Dec-23,분당선,1865,기흥,260356 ,237894 ,47358 ,45021 ,2024-01-03 9:18
Dec-23,분당선,1866,상갈,125236 ,118888 ,33485 ,32699 ,2024-01-03 9:18
Dec-23,분당선,1867,청명,112122 ,106487 ,22136 ,22343 ,2024-01-03 9:18
Dec-23,분당선,1868,영통,238381 ,236294 ,36252 ,35986 ,2024-01-03 9:18
Dec-23,분당선,1869,망포,402268 ,380487 ,43612 ,42105 ,2024-01-03 9:18
Dec-23,분당선,1870,매탄권선,137531 ,130775 ,24557 ,23477 ,2024-01-03 9:18
Dec-23,분당선,1871,수원시청,362349 ,401561 ,49308 ,50708 ,2024-01-03 9:18
Dec-23,분당선,1872,매교,121816 ,120191 ,25620 ,26093 ,2024-01-03 9:18
Dec-23,일산선,1948,원흥,270650 ,253541 ,65779 ,63067 ,2024-01-03 9:18
Dec-23,일산선,1949,지축,8 ,0 ,0 ,0 ,2024-01-03 9:18
Dec-23,일산선,1950,삼송,478318 ,449507 ,99094 ,99569 ,2024-01-03 9:18
Dec-23,일산선,1951,원당,244035 ,226227 ,83002 ,82397 ,2024-01-03 9:18
Dec-23,일산선,1952,화정,391328 ,404456 ,124442 ,127266 ,2024-01-03 9:18
Dec-23,일산선,1953,대곡,67241 ,49419 ,11996 ,10128 ,2024-01-03 9:18
Dec-23,일산선,1954,백석,228795 ,231510 ,78034 ,77362 ,2024-01-03 9:18
Dec-23,일산선,1955,마두,153979 ,157718 ,68393 ,70062 ,2024-01-03 9:18
Dec-23,일산선,1956,정발산,174567 ,184375 ,55722 ,52433 ,2024-01-03 9:18
Dec-23,일산선,1957,주엽,192829 ,190673 ,92522 ,95513 ,2024-01-03 9:18
Dec-23,일산선,1958,대화,344492 ,267127 ,84600 ,76960 ,2024-01-03 9:18
Dec-23,중앙선,1015,회기,682921 ,645909 ,119917 ,117744 ,2024-01-03 9:18
Dec-23,중앙선,1201,중랑,112419 ,107101 ,49134 ,48846 ,2024-01-03 9:18
Dec-23,중앙선,1202,상봉(시외버스터미널),128827 ,127225 ,41177 ,40286 ,2024-01-03 9:18
Dec-23,중앙선,1203,망우,156032 ,148149 ,73241 ,73897 ,2024-01-03 9:18
Dec-23,중앙선,1204,양원,65512 ,62364 ,20830 ,20693 ,2024-01-03 9:18
Dec-23,중앙선,1205,구리,303583 ,308769 ,85783 ,86420 ,2024-01-03 9:18
